function,table,dataset,probe,sizes,phase,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
mwhc,cuckoo,wiki,uniform,25Mx25M,insert,2988.49,81.19,795.20,34.71,17.89,2.17,651.40,25000000,0.27,1.00,4.59
mwhc,cuckoo,wiki,uniform,25Mx25M,join,816.12,0.63,195.31,9.94,5.47,0.76,177.89,25000000,0.24,1.00,4.59
rmi,chain,fb,uniform,10Mx25M,sort,2224.47,32.25,415.52,25.62,11.98,0.98,486.52,10000000,0.19,1.00,4.57
rmi,chain,fb,uniform,10Mx25M,insert,198.20,47.41,253.37,1.94,1.02,0.59,43.19,10000000,1.28,1.00,4.59
rmi,chain,fb,uniform,10Mx25M,join,696.88,23.83,108.92,8.05,3.74,1.10,151.89,25000000,0.16,1.00,4.59
rmi,chain,fb,uniform,25Mx25M,sort,2786.17,31.40,435.23,28.55,14.05,1.00,607.29,25000000,0.16,1.00,4.59
rmi,chain,fb,uniform,25Mx25M,insert,192.27,41.90,264.79,1.80,0.98,0.48,41.90,25000000,1.38,1.00,4.59
rmi,chain,fb,uniform,25Mx25M,join,715.62,0.57,99.02,8.07,4.46,1.21,156.01,25000000,0.14,1.00,4.59
mult,chain,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,chain,fb,uniform,10Mx25M,insert,356.76,34.51,141.43,3.74,1.53,0.44,79.52,10000000,0.40,1.00,4.49
mult,chain,fb,uniform,10Mx25M,join,314.74,22.62,66.38,4.91,2.30,0.47,68.60,25000000,0.21,1.00,4.59
mult,chain,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,chain,fb,uniform,25Mx25M,insert,383.20,30.39,141.46,3.66,1.63,0.44,83.55,25000000,0.37,1.00,4.59
mult,chain,fb,uniform,25Mx25M,join,313.94,0.26,52.71,4.34,2.71,0.49,68.43,25000000,0.17,1.00,4.59
mwhc,chain,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mwhc,chain,fb,uniform,10Mx25M,insert,2681.08,94.86,743.50,29.48,13.19,2.18,586.43,10000000,0.28,1.00,4.57
mwhc,chain,fb,uniform,10Mx25M,join,753.62,24.38,211.94,9.51,4.07,0.01,164.28,25000000,0.28,1.00,4.59
mwhc,chain,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mwhc,chain,fb,uniform,25Mx25M,insert,2851.90,87.11,693.09,30.32,14.76,2.17,621.69,25000000,0.24,1.00,4.59
mwhc,chain,fb,uniform,25Mx25M,join,740.43,0.59,186.27,8.97,4.57,0.00,161.36,25000000,0.25,1.00,4.59
rmi,linear,fb,uniform,10Mx25M,sort,2232.87,33.25,414.98,25.70,11.95,0.97,488.98,10000000,0.19,1.00,4.57
